rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
4064.0;210500.0;383500.0;3;0.0;519.0;220.0;1132.0;496.0;8940.0;3027.0;8428.0;1586.0;13266.0;4561.0;7875.0;27110.0;3388.0;24739.0;206.0;5.0;5948.0;51.0;1.0;0.0;6.0
4065.0;211500.0;383500.0;1;0.0;321.0;13.0;943.0;976.0;8645.0;3017.0;8017.0;994.0;12500.0;3650.0;7494.0;26171.0;3480.0;24588.0;255.0;5.0;6938.0;51.0;6.0;0.0;6.0
4066.0;212249.61691445;383500.730307773;1;0.0;1016.0;0.0;1183.0;144.0;7844.0;3231.0;7124.0;1190.0;11770.0;2802.0;7105.0;25236.0;3837.0;24478.0;251.0;5.0;7930.0;60.0;16.0;0.0;6.0
4104.0;79500.0;384500.0;1;0.0;133.0;659.0;235.0;92.0;4750.0;4854.0;4084.0;1183.0;9359.0;2252.0;6808.0;21556.0;6720.0;24436.0;197.0;0.0;6372.0;51.0;1.0;0.0;6.0
4105.0;80500.0;384500.0;3;1.0;202.0;419.0;537.0;377.0;4024.0;5279.0;3192.0;265.0;8936.0;3018.0;6997.0;20654.0;7601.0;24526.0;243.0;1.0;5991.0;51.0;1.0;0.0;6.0
4106.0;81500.0;384500.0;1;0.0;763.0;399.0;1155.0;214.0;3067.0;4307.0;2297.0;517.0;8609.0;3881.0;7320.0;19762.0;7925.0;24656.0;247.0;3.0;5259.0;51.0;1.0;0.0;6.0
4108.0;83500.0;384500.0;4;1.0;0.0;751.0;294.0;72.0;1354.0;2432.0;1021.0;1478.0;8177.0;5743.0;8295.0;18012.0;7307.0;25035.0;442.0;-1.0;3720.0;20.0;18.0;0.0;6.0
4109.0;84496.7103054716;384498.449144008;1;2.0;251.0;337.0;242.0;169.0;795.0;1598.0;401.0;2256.0;7251.0;6704.0;8912.0;17157.0;6398.0;25281.0;294.0;5.0;3149.0;51.0;1.0;0.0;6.0
4126.0;117500.0;384500.0;1;0.0;654.0;368.0;1352.0;376.0;242.0;1018.0;160.0;2274.0;3325.0;11607.0;5302.0;13195.0;1536.0;27039.0;452.0;3.0;4446.0;51.0;3.0;0.0;6.0
4144.0;140500.0;384500.0;2;0.0;1035.0;67.0;1522.0;61.0;1557.0;881.0;217.0;1599.0;3656.0;12629.0;1355.0;10671.0;2006.0;28995.0;457.0;5.0;3254.0;51.0;1.0;0.0;6.0
